纬度,经度,SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5,首要污染物,时间,日期,时间段,气温,风向编码,风力编码,降水强度,天气_多云,天气_晴,天气_阴,天气_雨,天气_雪,天气_雾霾沙尘
34.259781,108.856987,23,79,140,42.0,107.0,116.0,133.0,3,2013-04-26,2013-04-26,0,31.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,23,79,140,42.0,107.0,116.0,133.0,3,2013-04-26,2013-04-26,1,14.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,26,88,167,46.0,95.0,99.0,169.0,4,2013-04-25,2013-04-25,0,29.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,26,88,167,46.0,95.0,99.0,169.0,4,2013-04-25,2013-04-25,1,13.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,80,130,154,77.0,59.0,78.0,195.0,4,2013-04-24,2013-04-24,0,27.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,80,130,154,77.0,59.0,78.0,195.0,4,2013-04-24,2013-04-24,1,14.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,24,82,133,79.0,40.0,44.0,200.0,4,2013-04-23,2013-04-23,0,26.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,24,82,133,79.0,40.0,44.0,200.0,4,2013-04-23,2013-04-23,1,11.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,13,45,125,71.0,9.0,9.0,220.0,6,2013-04-22,2013-04-22,0,15.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
34.259781,108.856987,13,45,125,71.0,9.0,9.0,220.0,6,2013-04-22,2013-04-22,1,9.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,21,40,98,67.0,26.0,32.0,168.0,4,2013-04-21,2013-04-21,0,18.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,21,40,98,67.0,26.0,32.0,168.0,4,2013-04-21,2013-04-21,1,9.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.259781,108.856987,15,37,70,50.0,22.0,26.0,88.0,1,2013-04-20,2013-04-20,0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,15,37,70,50.0,22.0,26.0,88.0,1,2013-04-20,2013-04-20,1,8.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,8,34,87,71.0,23.0,33.0,125.0,3,2013-04-19,2013-04-19,0,14.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
34.259781,108.856987,8,34,87,71.0,23.0,33.0,125.0,3,2013-04-19,2013-04-19,1,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.259781,108.856987,31,40,318,93.0,39.0,52.0,200.0,7,2013-04-18,2013-04-18,0,24.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.259781,108.856987,31,40,318,93.0,39.0,52.0,200.0,7,2013-04-18,2013-04-18,1,12.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34.259781,108.856987,42,52,155,99.0,107.0,115.0,170.0,4,2013-04-17,2013-04-17,0,33.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,42,52,155,99.0,107.0,115.0,170.0,4,2013-04-17,2013-04-17,1,18.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,54,45,98,76.0,64.0,79.0,92.0,1,2013-04-16,2013-04-16,0,33.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,54,45,98,76.0,64.0,79.0,92.0,1,2013-04-16,2013-04-16,1,19.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,76,52,106,93.0,49.0,78.0,85.0,3,2013-04-15,2013-04-15,0,32.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,76,52,106,93.0,49.0,78.0,85.0,3,2013-04-15,2013-04-15,1,17.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,62,47,88,82.0,49.0,72.0,64.0,1,2013-04-14,2013-04-14,0,31.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,62,47,88,82.0,49.0,72.0,64.0,1,2013-04-14,2013-04-14,1,16.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.259781,108.856987,34,62,107,89.0,41.0,52.0,105.0,3,2013-04-13,2013-04-13,0,29.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,34,62,107,89.0,41.0,52.0,105.0,3,2013-04-13,2013-04-13,1,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,56,125,110,101.0,44.0,62.0,108.0,3,2013-04-12,2013-04-12,0,27.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,56,125,110,101.0,44.0,62.0,108.0,3,2013-04-12,2013-04-12,1,11.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,83,167,119,102.0,41.0,57.0,134.0,4,2013-04-11,2013-04-11,0,23.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,83,167,119,102.0,41.0,57.0,134.0,4,2013-04-11,2013-04-11,1,9.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,37,99,108,89.0,38.0,45.0,113.0,3,2013-04-10,2013-04-10,0,20.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,37,99,108,89.0,38.0,45.0,113.0,3,2013-04-10,2013-04-10,1,8.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,19,100,90,79.0,42.0,65.0,85.0,1,2013-04-09,2013-04-09,0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,19,100,90,79.0,42.0,65.0,85.0,1,2013-04-09,2013-04-09,1,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,36,165,159,87.0,35.0,55.0,112.0,4,2013-04-08,2013-04-08,0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,36,165,159,87.0,35.0,55.0,112.0,4,2013-04-08,2013-04-08,1,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,65,155,125,96.0,56.0,67.0,147.0,4,2013-04-07,2013-04-07,0,24.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,65,155,125,96.0,56.0,67.0,147.0,4,2013-04-07,2013-04-07,1,8.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,40,97,96,77.0,38.0,45.0,93.0,1,2013-04-06,2013-04-06,0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34.259781,108.856987,40,97,96,77.0,38.0,45.0,93.0,1,2013-04-06,2013-04-06,1,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
